Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"THE ECONOMIC AND ENVIRONMENTAL IMPACTS ASSESSMENT OF AQUACULTURE PROJECTS IN EGYPT","Aquaculture in Egypt contributes to national income and employment, with intensive systems reducing negative environmental impacts and increasing economic return.","M. Amira, A. Farag, A. Ahmed, H. A",2021,0,"This research aimed to assess the economic and environmental impacts of aquaculture activities in Egypt. And Analysis of the economic and environmental benefits of best fish farming  practices, And evaluate the ability of these projects to be sustainable with the economic changes and environmental impacts from these practices, and to achieve this goal, the Descriptive and analytical approach was used and Cost-benefit analysis in the economic evaluation of the activity, and  the potential environmental impacts of the existing aquaculture activities, and the impact of the expansion of fish farming activities on the surrounding environment. 
The results indicated that fish farming activity in Egypt has become one of the most important sources of national income and influences the gross domestic product, in addition to the expansion of best practices in farming, which will contribute to providing greater opportunities along the value chain. The results also indicated that the expand in the intensive system led to the reduction of negative environmental impacts, and the maximization of the economic return by increasing production, as well as maximizing the return from the water unit, as it depends on recycling water, as it is the best system , especially with lack of water resources. 
The most important research recommendations are: Encouraging the planned expansion ofaquaculture activities, to development national economy, provide greater job opportunities during the stages of the value chain, contribute to reducing the  imports from fish production, and provide a sustainable supply of food to cover the gap between local production and demand for fish. Encouraging the injection of new investments, by providing facilities, represented by insurance for aquaculture activities , providing loans and necessary credit especially for young people in order to be able to enter this field, providing a database for new investors, to facilitate the investment decision and overcome All obstacles to starting the implementation of the project. Encouraging expanding in  intensive aquaculture  systems, in order to achieve greater economic return and positive effects on the surrounding environment. The aquaculture  activity strongly needs continuous follow-up of the latest farming methods, the environmental assessment of the project at close intervals, and the provision of training and guidance from the concerned authorities for all farmers, to make them aware of the importance of the environmental dimension.","theoretical, modeling, or simulation study","Journal of Environmental Science","1","10.21608/jes.2021.180190","https://consensus.app/papers/the-economic-and-environmental-impacts-assessment-of-amira-farag/22ada053d39e558180d2a5f050aa6812/"
"Design, Economic, and Environmental Accounting Assessment of a Solar-Powered Cold Room for Fish Storage in Traditional Markets","Solar-powered cold rooms for fish storage in traditional markets in Morocco can improve economic and environmental sustainability by reducing CO2 emissions and generating significant environmental savings.","Yassine Rami, A. Allouhi",2024,8,"The food industry, crucial for emerging economies, faces challenges in refrigeration, particularly in fish storage. High energy consumption, environmental impact, and improper cooling methods leading to food waste are significant issues. Addressing these challenges is vital for economic and environmental sustainability in the food sector, especially concerning fish storage where spoilage rates are high. In this context, this research proposes a sizing methodology, evaluation, and parametric simulations based on multi-criteria attributes for a solar PV-powered cold room for storing fish in traditional markets in Morocco. To identify the cooling load of the system, TRNSYS 16 was utilized to simulate the transient behavior, while the PV array specifications were determined using SAM 2017.9.5 software. The design process introduced a cold room coupled to a refrigeration unit powered by a 15.3 m2 PV array with a 1.8 kWp nameplate capacity. Finally, yearly and life cycle metrics including self-sufficiency, self-consumption, Levelized Cost of Cooling (LCOC), discounted payback period (DPP), CO2 emissions avoided and total environmental penalty cost savings (TEPCS) are evaluated to assess the performance of the system and a sensitivity analysis was conducted on these metrics. The proposed system has an attractive LCOC of 0.131 $/kWhCold and a DPP of 3.511 years. Using the PV array proved to avoid 437.56 tons of CO2 emissions and generated TEPCS from $100.59 to $866.66. The results of this study highlight the potential for utilizing renewable energy sources in the refrigeration sector to improve both economic and environmental sustainability.","theoretical, modeling, or simulation study","Sustainability","1","10.3390/su16073080","https://consensus.app/papers/design-economic-and-environmental-accounting-assessment-rami-allouhi/b64ade6fbfa658a78ba0bcd3dd3168f4/"
"Economic efficiency of conversion of classical fish farm in organic by use of wastes fish in Green Houses","Aquaponic systems can provide fresh fish and quality greens, with potential for sustainable tourism development and economic return, but require careful management and risk evaluation.","Catalin Costin Oniga, D. Mocuta, S. Cristea, Ș. Jurcoane",2020,2,"The scientific approach of the following paper refers to an integrated system between aquaculture and hydroponics called aquaponics, a sustainable technology of producing food and diminishing waste. Implementing an aquaponic system would be a response to the drastic global changes such as climate imbalance, soil degradation, water shortage, population growth and so on. Building a system of this kind should be highly related to its economic perspective. There is scarce research regarding the economic expectation and too irrelevant to conclude a point of view. A good example of a similar practice has been applied to Cornell University (US-Professor Michael Timmons). Engineering input and perspective on responsible aquaculture development with an emphasis on business management and formation were provided to us. Considering this, we find it very challenging and we are determined to test the application of an aquaponic system in the hospitality business sector. The advantages of this application are: fresh fish and quality greens, small production surface, controlled environment, sufficient income to sustain a family and tourism development in Danube regions. The investment, overall performance and economic return are management dependent. A real risk evaluation process could improve the system added value.","other","Romanian Biotechnological Letters","","10.25083/rbl/25.6/2174.2179","https://consensus.app/papers/economic-efficiency-of-conversion-of-classical-fish-farm-oniga-mocuta/9f7ff5e895125b8dae8eb63f409c020a/"
"Economically viable aquaponics? Identifying the gap between potential and current uncertainties","Larger aquaponic systems are economically superior, profitability is sensitive to retail prices, and improved business plans can make commercial aquaponics more profitable.","Asael Greenfeld, N. Becker, J. McIlwain, R. Fotedar, J. Bornman",2018,80,"Aquaponics, which integrates hydroponic farming and aquaculture, has the potential for sustainably producing high-quality food, but has yet to achieve commercial success. In recent years, however, commercial-scale aquaponics has received considerable attention from the scientific community, with the current literature covering many aspects of aquaponic production. We reviewed this literature and classified the specific areas covered by each paper and its contribution to either cost reduction or benefit enhancement. The literature regarding the economic benefits of aquaponics was summarised, and despite contradicting views of current profitability, there is a consensus that (i) larger systems are economically superior to smaller ones; (ii) profitability is sensitive to retail prices; and (iii) commercial aquaponics are more profitable through improved business plans. This review provides a quantitative scientific analysis of the bioeconomics and potential of commercial aquaponics, useful for both researchers and practitioners. We argue for greater focus on three understudied aspects that could each be a 'game changer' for commercial aquaponics. These include the following: (i) grower considerations such as financial planning and risk management that affect potential growers' initial engagement in aquaponics; (ii) consumer perception of aquaponic products including the willingness to pay more for its added value; and (iii) the economic value of the environmental benefits of aquaponic systems and ways to internalise them for profit. Further study of each of these aspects, along with the ongoing improvement of production systems, will support the establishment of large-scale aquaponics as an economically sustainable industry.","literature review","Reviews in Aquaculture","1","10.1111/raq.12269","https://consensus.app/papers/economically-viable-aquaponics-identifying-the-gap-greenfeld-becker/80220ea5f8ac5198bc434edc428e2528/"
"Availability of Fresh Fish Stall Business to Meet Nutritional Needs for Health: A Case Study in Sebulu District, Kutai Kartanegara Regency, Indonesia","Fresh fish stall businesses in Sebulu District, Kutai Kartanegara Regency, Indonesia generate relatively good profits and have the potential to sustain operations to meet nutritional needs for health.","G. Haqiqiansyah, M. Syafril, Handayani Boa",2026,1,"Background: A profitability analysis is crucial for assessing a business’s ability to generate profit hence, business actors need to respond and make the increase in managing their businesses. If their business is survived they may to meet nutritional needs of the community besides significantly contribute to increasing family income.
Aims: To analyze the profitability of a fresh fish stall business.
Methods: Data collection of research was in July-September 2025, in Sebulu District, Kutai Karatenagara Regency. Samples as respondents were obtained using the purposive sampling method, specifically four respondents, considering that they have the largest businesses with five and more than 5 years, and operate continuously. They are the fresh fish stall traders. To analyze profitability, calculations of Net Profit Margin (NPM), Return on Investment (RoI), Payback Period (PP), and business efficiency (RCR or Benefit Cost Ratio) were used.
Results: The findings reveal that the business achieved a profitability rate of 19.10% for NPM, 29.2% for ROI, and a payback period of 0.59 years.
Conclusion: The fresh fish stall business generates a relatively good profit and has the potential to sustain its operations to meet nutritional needs for health. Furthermore, the business efficiency analysis indicates an R/C ratio value of 1.24, signifying that the business is efficient, as an R/C ratio value greater than 1 denotes efficiency.","case study","GHMJ (Global Health Management Journal)","","10.35898/ghmj-911257","https://consensus.app/papers/availability-of-fresh-fish-stall-business-to-meet-haqiqiansyah-syafril/40e60a65270157f4a14167dac2e6893f/"
"Analisis Kelayakan Investasi Pembangunan Pasar Ikan Modern “Muara Baru”","The development of a world-class modern fish market is feasible from a financial perspective, with a 7.36 year payback period, 13.42% IRR, and 21.91% ROI.","Edy Supriyantony",2023,2,"Directorate General of PDSPKP, Ministry of Maritime Affairs and Fisheries in order to improve competitiveness by increasing market facilities and infrastructure as the main chain of distribution of marine and fishery products, plans to build a world-class modern fish market (PIM). This research was conducted to know the feasibility of development from the financial aspects. The data were collecting with methods of field observation, interviews and literature studies. The results of the feasibility study of this plan show that PIM development is feasible to be implemented from the financial aspect. This is supported by the results of an analysis that shows 7.36 year payback period (PP) 7.36 year; NPV of Rp. 21.74 billion; IRR of 13.42%; and ROI of 21.91%.","other","Jurnal Ekonomi dan Bisnis","","10.56145/jurnalekonomidanbisnis.v3i2.67","https://consensus.app/papers/analisis-kelayakan-investasi-pembangunan-pasar-ikan-supriyantony/912afa23e5355dc38c2da93a0bdc554a/"
"A financial feasibility study of an aquaponic system in a Mediterranean urban context","Aquaponic farming in an urban Mediterranean context is likely to be profitable, with operating income of about €290 and a slightly higher economic viability if total revenue decreases.","A. Asciuto, E. Schimmenti, Carlo Cottone, V. Borsellino",2019,55,"","other","Urban Forestry & Urban Greening","1","10.1016/j.ufug.2019.02.001","https://consensus.app/papers/a-financial-feasibility-study-of-an-aquaponic-system-in-a-asciuto-schimmenti/634016711ce15048a0a991f47078ffe6/"
"Increasing fish farm profitability through aquaculture best management practice training in Egypt","Best management practice training significantly improves profitability for Egyptian fish farmers, leading to higher average net profits and lower operating costs.","M. Dickson, A. Nasr-Allah, D. Al-Kenawy, F. Kruijssen",2016,94,"","field study","Aquaculture","1","10.1016/j.aquaculture.2016.09.015","https://consensus.app/papers/increasing-fish-farm-profitability-through-aquaculture-dickson-nasr-allah/572aaa1acdeb5f3f8b58eb01aaaee1e2/"
"Economic Sustainability of Small-Scale Aquaponic Systems for Food Self-Production","Small-scale aquaponic systems show positive accounting profit but negative economic profit when considering labor costs, allowing for some autonomy through the use of family labor force.","José Lobillo-Eguíbar, V. Fernández-Cabanás, L. Bermejo, L. Pérez-Urrestarazu",2020,45,"Aquaponics involves the simultaneous production of plants and fish and it is increasingly being used with a self-consumption purpose. However, there are uncertainties and little information about the economic sustainability of small-scale self-managed aquaponic systems. The objective of this study was to obtain economic information about these systems, including the level of commoditization of food production as a measure of their autonomy. For this purpose, two small-scale aquaponic systems (SAS) based on FAO models were self-constructed using cheap and easy-to-obtain materials and monitored for a year. A total of 62 kg of tilapia and 352 kg of 22 different vegetables and fruits were produced, with an average net agricultural added value of 151.3 €. Results showed positive accounting profit but negative economic profit when labor costs were included. The degree of commoditization was around 44%, which allows a certain autonomy, thanks to the use of family labor force.","other","Agronomy","1","10.3390/agronomy10101468","https://consensus.app/papers/economic-sustainability-of-smallscale-aquaponic-systems-lobillo-egu%C3%ADbar-fern%C3%A1ndez-caban%C3%A1s/ce58552afdc157aea969ca351384e946/"
"Medan Fish Centre With Ecological Architecture Approach","The Medan Fish Center design, using ecological architecture, effectively manages liquid waste from fish traders, benefiting the community's economy, recreation, and education.","A. Nasution, Sri Gunana",2022,0,"Medan Fish Center design is a building design that functions as a fish market which is located on K.L. Yos Sudarso Street, West Medan District, North Sumatra. This design depicts a fish market center equipped with supporting facilities such as a freshwater aquarium, food court, and gallery. The application of ecological architecture to market design applied to the management of liquid waste produced by fish traders. The fish market design is expected to benefit the community not only as a means of the community's economy but also as a means of recreation and education.    ","other","International Journal of Architecture and Urbanism","","10.32734/ijau.v6i3.10388","https://consensus.app/papers/medan-fish-centre-with-ecological-architecture-approach-nasution-gunana/dc9c7e79cf9d547e88898947ee05edc5/"
